[8, 2, 3],[9, 6, 3]
[8, 3, 2],[9, 6, 3]
[2, 3, 8],[5, 8, 8]
[2, 8, 3],[5, 8, 8]
[3, 2, 8],[5, 8, 8]
[3, 8, 2],[5, 8, 8]
[2, 7, 7],[5, 8, 8]
[5, 5, 7],[5, 8, 8]
[5, 7, 5],[5, 8, 8]
[2, 3, 8],[8, 5, 8]
[3, 2, 8],[8, 5, 8]
[8, 2, 3],[8, 5, 8]
[8, 3, 2],[8, 5, 8]
[7, 2, 7],[8, 5, 8]
[5, 5, 7],[8, 5, 8]
[7, 5, 5],[8, 5, 8]
[2, 8, 3],[8, 8, 5]
[3, 8, 2],[8, 8, 5]
[8, 2, 3],[8, 8, 5]
[8, 3, 2],[8, 8, 5]
[7, 7, 2],[8, 8, 5]
[5, 7, 5],[8, 8, 5]
[7, 5, 5],[8, 8, 5]
[0, 8, 13],[0, 9, 15]
[0, 13, 8],[0, 15, 9]
[8, 0, 13],[9, 0, 15]
[8, 13, 0],[9, 15, 0]
[13, 0, 8],[15, 0, 9]
[13, 8, 0],[15, 9, 0]
[0, 8, 13],[1, 8, 15]
[1, 7, 12],[1, 8, 15]
[0, 13, 8],[1, 15, 8]
[1, 12, 7],[1, 15, 8]
[8, 0, 13],[8, 1, 15]
[7, 1, 12],[8, 1, 15]
[8, 13, 0],[8, 15, 1]
[7, 12, 1],[8, 15, 1]
[13, 0, 8],[15, 1, 8]
[12, 1, 7],[15, 1, 8]
[13, 8, 0],[15, 8, 1]
[12, 7, 1],[15, 8, 1]
[0, 8, 13],[1, 10, 14]
[1, 7, 12],[1, 10, 14]
[0, 13, 8],[1, 14, 10]
[1, 12, 7],[1, 14, 10]
[8, 0, 13],[10, 1, 14]
[7, 1, 12],[10, 1, 14]
[8, 13, 0],[10, 14, 1]
[7, 12, 1],[10, 14, 1]
[13, 0, 8],[14, 1, 10]
[12, 1, 7],[14, 1, 10]
[13, 8, 0],[14, 10, 1]
[12, 7, 1],[14, 10, 1]
[2, 4, 10],[2, 5, 12]
[2, 10, 4],[2, 12, 5]
[4, 2, 10],[5, 2, 12]
[4, 10, 2],[5, 12, 2]
[10, 2, 4],[12, 2, 5]
[10, 4, 2],[12, 5, 2]
[2, 4, 10],[2, 9, 11]
[2, 10, 4],[2, 11, 9]
[4, 2, 10],[9, 2, 11]
[4, 10, 2],[9, 11, 2]
[10, 2, 4],[11, 2, 9]
[10, 4, 2],[11, 9, 2]
[2, 4, 10],[3, 7, 11]
[3, 6, 9],[3, 7, 11]
[2, 10, 4],[3, 11, 7]
[3, 9, 6],[3, 11, 7]
[4, 2, 10],[7, 3, 11]
[6, 3, 9],[7, 3, 11]
[4, 10, 2],[7, 11, 3]
[6, 9, 3],[7, 11, 3]
[10, 2, 4],[11, 3, 7]
[9, 3, 6],[11, 3, 7]
[10, 4, 2],[11, 7, 3]
[9, 6, 3],[11, 7, 3]
[2, 4, 10],[4, 5, 11]
[4, 2, 10],[4, 5, 11]
[2, 10, 4],[4, 11, 5]
[4, 10, 2],[4, 11, 5]
[2, 4, 10],[5, 4, 11]
[4, 2, 10],[5, 4, 11]
[2, 10, 4],[5, 11, 4]
[4, 10, 2],[5, 11, 4]
[10, 2, 4],[11, 4, 5]
