[8, 5, 1],[9, 7, 3]
[8, 4, 2],[9, 7, 3]
[5, 7, 2],[9, 7, 3]
[7, 5, 2],[9, 7, 3]
[1, 5, 8],[4, 5, 10]
[2, 4, 8],[4, 5, 10]
[4, 2, 8],[4, 5, 10]
[2, 5, 7],[4, 5, 10]
[4, 4, 4],[4, 5, 10]
[1, 8, 5],[4, 10, 5]
[2, 8, 4],[4, 10, 5]
[4, 8, 2],[4, 10, 5]
[2, 7, 5],[4, 10, 5]
[4, 4, 4],[4, 10, 5]
[5, 1, 8],[5, 4, 10]
[2, 4, 8],[5, 4, 10]
[4, 2, 8],[5, 4, 10]
[5, 2, 7],[5, 4, 10]
[4, 4, 4],[5, 4, 10]
[5, 8, 1],[5, 10, 4]
[2, 8, 4],[5, 10, 4]
[4, 8, 2],[5, 10, 4]
[5, 7, 2],[5, 10, 4]
[4, 4, 4],[5, 10, 4]
[8, 1, 5],[10, 4, 5]
[8, 2, 4],[10, 4, 5]
[8, 4, 2],[10, 4, 5]
[7, 2, 5],[10, 4, 5]
[4, 4, 4],[10, 4, 5]
[8, 5, 1],[10, 5, 4]
[8, 2, 4],[10, 5, 4]
[8, 4, 2],[10, 5, 4]
[7, 5, 2],[10, 5, 4]
[4, 4, 4],[10, 5, 4]
[1, 5, 8],[4, 6, 9]
[2, 4, 8],[4, 6, 9]
[4, 2, 8],[4, 6, 9]
[2, 5, 7],[4, 6, 9]
[4, 4, 4],[4, 6, 9]
[1, 8, 5],[4, 9, 6]
[2, 8, 4],[4, 9, 6]
[4, 8, 2],[4, 9, 6]
[2, 7, 5],[4, 9, 6]
[4, 4, 4],[4, 9, 6]
[5, 1, 8],[6, 4, 9]
[2, 4, 8],[6, 4, 9]
[4, 2, 8],[6, 4, 9]
[5, 2, 7],[6, 4, 9]
[4, 4, 4],[6, 4, 9]
[5, 8, 1],[6, 9, 4]
[2, 8, 4],[6, 9, 4]
[4, 8, 2],[6, 9, 4]
[5, 7, 2],[6, 9, 4]
[4, 4, 4],[6, 9, 4]
[8, 1, 5],[9, 4, 6]
[8, 2, 4],[9, 4, 6]
[8, 4, 2],[9, 4, 6]
[7, 2, 5],[9, 4, 6]
[4, 4, 4],[9, 4, 6]
[8, 5, 1],[9, 6, 4]
[8, 2, 4],[9, 6, 4]
[8, 4, 2],[9, 6, 4]
[7, 5, 2],[9, 6, 4]
[4, 4, 4],[9, 6, 4]
[4, 4, 4],[5, 5, 5]
[0, 8, 13],[0, 9, 15]
[0, 13, 8],[0, 15, 9]
[8, 0, 13],[9, 0, 15]
[8, 13, 0],[9, 15, 0]
[13, 0, 8],[15, 0, 9]
[13, 8, 0],[15, 9, 0]
[0, 8, 13],[1, 9, 14]
[1, 6, 12],[1, 9, 14]
[1, 7, 11],[1, 9, 14]
[0, 13, 8],[1, 14, 9]
[1, 12, 6],[1, 14, 9]
[1, 11, 7],[1, 14, 9]
[8, 0, 13],[9, 1, 14]
[6, 1, 12],[9, 1, 14]
[7, 1, 11],[9, 1, 14]
[8, 13, 0],[9, 14, 1]
[6, 12, 1],[9, 14, 1]
[7, 11, 1],[9, 14, 1]
[13, 0, 8],[14, 1, 9]
[12, 1, 6],[14, 1, 9]
[11, 1, 7],[14, 1, 9]
[13, 8, 0],[14, 9, 1]
[12, 6, 1],[14, 9, 1]
[11, 7, 1],[14, 9, 1]
[0, 8, 13],[3, 8, 14]
[1, 6, 12],[3, 8, 14]
[1, 7, 11],[3, 8, 14]
[3, 7, 9],[3, 8, 14]
[0, 13, 8],[3, 14, 8]
[1, 12, 6],[3, 14, 8]
[1, 11, 7],[3, 14, 8]
[3, 9, 7],[3, 14, 8]
[8, 0, 13],[8, 3, 14]
[6, 1, 12],[8, 3, 14]
[7, 1, 11],[8, 3, 14]
[7, 3, 9],[8, 3, 14]
[8, 13, 0],[8, 14, 3]
[6, 12, 1],[8, 14, 3]
[7, 11, 1],[8, 14, 3]
[7, 9, 3],[8, 14, 3]
[13, 0, 8],[14, 3, 8]
[12, 1, 6],[14, 3, 8]
[11, 1, 7],[14, 3, 8]
[9, 3, 7],[14, 3, 8]
[13, 8, 0],[14, 8, 3]
[12, 6, 1],[14, 8, 3]
[11, 7, 1],[14, 8, 3]
[9, 7, 3],[14, 8, 3]
[1, 7, 11],[3, 10, 11]
[3, 7, 9],[3, 10, 11]
[3, 9, 7],[3, 10, 11]
[1, 11, 7],[3, 11, 10]
[3, 7, 9],[3, 11, 10]
[3, 9, 7],[3, 11, 10]
[7, 1, 11],[10, 3, 11]
[7, 3, 9],[10, 3, 11]
[9, 3, 7],[10, 3, 11]
[7, 11, 1],[10, 11, 3]
[7, 9, 3],[10, 11, 3]
[9, 7, 3],[10, 11, 3]
[11, 1, 7],[11, 3, 10]
[7, 3, 9],[11, 3, 10]
[9, 3, 7],[11, 3, 10]
[11, 7, 1],[11, 10, 3]
[7, 9, 3],[11, 10, 3]
[9, 7, 3],[11, 10, 3]
[1, 6, 12],[5, 6, 14]
[4, 5, 10],[5, 6, 14]
[5, 4, 10],[5, 6, 14]
[4, 6, 9],[5, 6, 14]
[5, 5, 5],[5, 6, 14]
[1, 12, 6],[5, 14, 6]
[4, 10, 5],[5, 14, 6]
[5, 10, 4],[5, 14, 6]
[4, 9, 6],[5, 14, 6]
[5, 5, 5],[5, 14, 6]
[6, 1, 12],[6, 5, 14]
[4, 5, 10],[6, 5, 14]
[5, 4, 10],[6, 5, 14]
[6, 4, 9],[6, 5, 14]
[5, 5, 5],[6, 5, 14]
[6, 12, 1],[6, 14, 5]
[4, 10, 5],[6, 14, 5]
[5, 10, 4],[6, 14, 5]
[6, 9, 4],[6, 14, 5]
[5, 5, 5],[6, 14, 5]
[12, 1, 6],[14, 5, 6]
[10, 4, 5],[14, 5, 6]
[10, 5, 4],[14, 5, 6]
[9, 4, 6],[14, 5, 6]
[5, 5, 5],[14, 5, 6]
[12, 6, 1],[14, 6, 5]
[10, 4, 5],[14, 6, 5]
[10, 5, 4],[14, 6, 5]
[9, 6, 4],[14, 6, 5]
[5, 5, 5],[14, 6, 5]
[1, 7, 11],[5, 9, 11]
[3, 7, 9],[5, 9, 11]
[3, 9, 7],[5, 9, 11]
[4, 5, 10],[5, 9, 11]
[5, 4, 10],[5, 9, 11]
[4, 6, 9],[5, 9, 11]
[4, 9, 6],[5, 9, 11]
[5, 5, 5],[5, 9, 11]
[1, 11, 7],[5, 11, 9]
[3, 7, 9],[5, 11, 9]
[3, 9, 7],[5, 11, 9]
[4, 10, 5],[5, 11, 9]
[5, 10, 4],[5, 11, 9]
[4, 6, 9],[5, 11, 9]
[4, 9, 6],[5, 11, 9]
[5, 5, 5],[5, 11, 9]
[7, 1, 11],[9, 5, 11]
[7, 3, 9],[9, 5, 11]
[9, 3, 7],[9, 5, 11]
[4, 5, 10],[9, 5, 11]
[5, 4, 10],[9, 5, 11]
[6, 4, 9],[9, 5, 11]
[9, 4, 6],[9, 5, 11]
[5, 5, 5],[9, 5, 11]
[7, 11, 1],[9, 11, 5]
[7, 9, 3],[9, 11, 5]
[9, 7, 3],[9, 11, 5]
[4, 10, 5],[9, 11, 5]
[5, 10, 4],[9, 11, 5]
[6, 9, 4],[9, 11, 5]
[9, 6, 4],[9, 11, 5]
[5, 5, 5],[9, 11, 5]
[11, 1, 7],[11, 5, 9]
[7, 3, 9],[11, 5, 9]
[9, 3, 7],[11, 5, 9]
[10, 4, 5],[11, 5, 9]
[10, 5, 4],[11, 5, 9]
[6, 4, 9],[11, 5, 9]
[9, 4, 6],[11, 5, 9]
[5, 5, 5],[11, 5, 9]
[11, 7, 1],[11, 9, 5]
[7, 9, 3],[11, 9, 5]
[9, 7, 3],[11, 9, 5]
[10, 4, 5],[11, 9, 5]
[10, 5, 4],[11, 9, 5]
[6, 9, 4],[11, 9, 5]
[9, 6, 4],[11, 9, 5]
[5, 5, 5],[11, 9, 5]
[5, 5, 5],[6, 6, 6]
[0, 9, 15],[0, 11, 18]
[0, 15, 9],[0, 18, 11]
[9, 0, 15],[11, 0, 18]
[9, 15, 0],[11, 18, 0]
[15, 0, 9],[18, 0, 11]
[15, 9, 0],[18, 11, 0]
[0, 9, 15],[1, 10, 17]
[1, 9, 14],[1, 10, 17]
[0, 15, 9],[1, 17, 10]
[1, 14, 9],[1, 17, 10]
[9, 0, 15],[10, 1, 17]
[9, 1, 14],[10, 1, 17]
[9, 15, 0],[10, 17, 1]
[9, 14, 1],[10, 17, 1]
[15, 0, 9],[17, 1, 10]
[14, 1, 9],[17, 1, 10]
[15, 9, 0],[17, 10, 1]
[14, 9, 1],[17, 10, 1]
[0, 9, 15],[2, 9, 16]
[1, 9, 14],[2, 9, 16]
[0, 15, 9],[2, 16, 9]
[1, 14, 9],[2, 16, 9]
[9, 0, 15],[9, 2, 16]
[9, 1, 14],[9, 2, 16]
[9, 15, 0],[9, 16, 2]
[9, 14, 1],[9, 16, 2]
[15, 0, 9],[16, 2, 9]
[14, 1, 9],[16, 2, 9]
[15, 9, 0],[16, 9, 2]
[14, 9, 1],[16, 9, 2]
[0, 9, 15],[2, 10, 15]
[1, 9, 14],[2, 10, 15]
[0, 15, 9],[2, 15, 10]
[1, 14, 9],[2, 15, 10]
[9, 0, 15],[10, 2, 15]
[9, 1, 14],[10, 2, 15]
[9, 15, 0],[10, 15, 2]
[9, 14, 1],[10, 15, 2]
[15, 0, 9],[15, 2, 10]
[14, 1, 9],[15, 2, 10]
[15, 9, 0],[15, 10, 2]
[14, 9, 1],[15, 10, 2]
[3, 10, 11],[4, 11, 12]
[3, 11, 10],[4, 11, 12]
[3, 10, 11],[4, 12, 11]
[3, 11, 10],[4, 12, 11]
[10, 3, 11],[11, 4, 12]
[11, 3, 10],[11, 4, 12]
[10, 11, 3],[11, 12, 4]
[11, 10, 3],[11, 12, 4]
[10, 3, 11],[12, 4, 11]
[11, 3, 10],[12, 4, 11]
[10, 11, 3],[12, 11, 4]
[11, 10, 3],[12, 11, 4]
[6, 6, 6],[6, 7, 13]
[6, 6, 6],[6, 13, 7]
[6, 6, 6],[7, 6, 13]
[6, 6, 6],[7, 13, 6]
[6, 6, 6],[13, 6, 7]
[6, 6, 6],[13, 7, 6]
[6, 6, 6],[6, 8, 11]
[6, 6, 6],[6, 11, 8]
[6, 6, 6],[8, 6, 11]
[6, 6, 6],[8, 11, 6]
[6, 6, 6],[11, 6, 8]
[6, 6, 6],[11, 8, 6]
[6, 6, 6],[7, 7, 7]
[0, 11, 18],[0, 12, 20]
[0, 18, 11],[0, 20, 12]
