[5, 9, 12],[6, 10, 12]
[5, 12, 9],[6, 12, 10]
[9, 5, 12],[10, 6, 12]
[9, 12, 5],[10, 12, 6]
[12, 5, 9],[12, 6, 10]
[12, 9, 5],[12, 10, 6]
[0, 14, 14],[0, 15, 15]
[14, 0, 14],[15, 0, 15]
[14, 14, 0],[15, 15, 0]
[0, 14, 14],[1, 14, 15]
[0, 14, 14],[1, 15, 14]
[14, 0, 14],[14, 1, 15]
[14, 14, 0],[14, 15, 1]
[14, 0, 14],[15, 1, 14]
[14, 14, 0],[15, 14, 1]
[2, 12, 14],[2, 13, 15]
[2, 14, 12],[2, 15, 13]
[12, 2, 14],[13, 2, 15]
[12, 14, 2],[13, 15, 2]
[14, 2, 12],[15, 2, 13]
[14, 12, 2],[15, 13, 2]
[2, 12, 14],[3, 12, 15]
[2, 14, 12],[3, 15, 12]
[12, 2, 14],[12, 3, 15]
[12, 14, 2],[12, 15, 3]
[14, 2, 12],[15, 3, 12]
[14, 12, 2],[15, 12, 3]
[2, 12, 14],[3, 13, 14]
[2, 14, 12],[3, 14, 13]
[12, 2, 14],[13, 3, 14]
[12, 14, 2],[13, 14, 3]
[14, 2, 12],[14, 3, 13]
[14, 12, 2],[14, 13, 3]
[4, 10, 14],[4, 11, 15]
[4, 14, 10],[4, 15, 11]
[10, 4, 14],[11, 4, 15]
[10, 14, 4],[11, 15, 4]
[14, 4, 10],[15, 4, 11]
[14, 10, 4],[15, 11, 4]
[4, 10, 14],[5, 10, 15]
[4, 14, 10],[5, 15, 10]
[10, 4, 14],[10, 5, 15]
[10, 14, 4],[10, 15, 5]
[14, 4, 10],[15, 5, 10]
[14, 10, 4],[15, 10, 5]
[4, 10, 14],[5, 11, 14]
[4, 14, 10],[5, 14, 11]
[10, 4, 14],[11, 5, 14]
[10, 14, 4],[11, 14, 5]
[14, 4, 10],[14, 5, 11]
[14, 10, 4],[14, 11, 5]
[6, 8, 14],[6, 9, 15]
[6, 14, 8],[6, 15, 9]
[8, 6, 14],[9, 6, 15]
[8, 14, 6],[9, 15, 6]
[14, 6, 8],[15, 6, 9]
[14, 8, 6],[15, 9, 6]
[6, 10, 12],[6, 11, 13]
[6, 12, 10],[6, 13, 11]
[10, 6, 12],[11, 6, 13]
[10, 12, 6],[11, 13, 6]
[12, 6, 10],[13, 6, 11]
[12, 10, 6],[13, 11, 6]
[6, 8, 14],[7, 8, 15]
[6, 14, 8],[7, 15, 8]
[8, 6, 14],[8, 7, 15]
[8, 14, 6],[8, 15, 7]
[14, 6, 8],[15, 7, 8]
[14, 8, 6],[15, 8, 7]
[6, 8, 14],[7, 9, 14]
[6, 14, 8],[7, 14, 9]
[8, 6, 14],[9, 7, 14]
[8, 14, 6],[9, 14, 7]
[14, 6, 8],[14, 7, 9]
[14, 8, 6],[14, 9, 7]
[6, 10, 12],[7, 10, 13]
[6, 12, 10],[7, 13, 10]
[10, 6, 12],[10, 7, 13]
[10, 12, 6],[10, 13, 7]
[12, 6, 10],[13, 7, 10]
[12, 10, 6],[13, 10, 7]
[6, 10, 12],[7, 11, 12]
[6, 12, 10],[7, 12, 11]
[10, 6, 12],[11, 7, 12]
[10, 12, 6],[11, 12, 7]
[12, 6, 10],[12, 7, 11]
[12, 10, 6],[12, 11, 7]
[0, 15, 15],[0, 16, 16]
[15, 0, 15],[16, 0, 16]
[15, 15, 0],[16, 16, 0]
[0, 16, 16],[0, 17, 17]
[16, 0, 16],[17, 0, 17]
[16, 16, 0],[17, 17, 0]
[0, 16, 16],[1, 16, 17]
[0, 16, 16],[1, 17, 16]
[16, 0, 16],[16, 1, 17]
[16, 16, 0],[16, 17, 1]
[16, 0, 16],[17, 1, 16]
[16, 16, 0],[17, 16, 1]
[0, 17, 17],[0, 18, 18]
[17, 0, 17],[18, 0, 18]
[17, 17, 0],[18, 18, 0]
[1, 16, 17],[2, 16, 18]
[1, 17, 16],[2, 18, 16]
[16, 1, 17],[16, 2, 18]
[16, 17, 1],[16, 18, 2]
[17, 1, 16],[18, 2, 16]
[17, 16, 1],[18, 16, 2]
[0, 18, 18],[0, 19, 19]
[18, 0, 18],[19, 0, 19]
[18, 18, 0],[19, 19, 0]
[0, 18, 18],[1, 18, 19]
[0, 18, 18],[1, 19, 18]
[18, 0, 18],[18, 1, 19]
[18, 18, 0],[18, 19, 1]
[18, 0, 18],[19, 1, 18]
[18, 18, 0],[19, 18, 1]
[2, 16, 18],[2, 17, 19]
[2, 18, 16],[2, 19, 17]
[16, 2, 18],[17, 2, 19]
[16, 18, 2],[17, 19, 2]
[18, 2, 16],[19, 2, 17]
[18, 16, 2],[19, 17, 2]
[2, 16, 18],[3, 16, 19]
[2, 18, 16],[3, 19, 16]
[16, 2, 18],[16, 3, 19]
[16, 18, 2],[16, 19, 3]
[18, 2, 16],[19, 3, 16]
[18, 16, 2],[19, 16, 3]
[2, 16, 18],[3, 17, 18]
[2, 18, 16],[3, 18, 17]
[16, 2, 18],[17, 3, 18]
[16, 18, 2],[17, 18, 3]
[18, 2, 16],[18, 3, 17]
[18, 16, 2],[18, 17, 3]
[0, 19, 19],[0, 20, 20]
[19, 0, 19],[20, 0, 20]
[19, 19, 0],[20, 20, 0]
[3, 16, 19],[4, 16, 20]
[3, 19, 16],[4, 20, 16]
[16, 3, 19],[16, 4, 20]
[16, 19, 3],[16, 20, 4]
[19, 3, 16],[20, 4, 16]
[19, 16, 3],[20, 16, 4]
[0, 20, 20],[0, 21, 21]
[20, 0, 20],[21, 0, 21]
[20, 20, 0],[21, 21, 0]
[0, 20, 20],[1, 20, 21]
[0, 20, 20],[1, 21, 20]
[20, 0, 20],[20, 1, 21]
[20, 20, 0],[20, 21, 1]
[20, 0, 20],[21, 1, 20]
[20, 20, 0],[21, 20, 1]
[4, 16, 20],[4, 17, 21]
[4, 20, 16],[4, 21, 17]
[16, 4, 20],[17, 4, 21]
[16, 20, 4],[17, 21, 4]
[20, 4, 16],[21, 4, 17]
[20, 16, 4],[21, 17, 4]
[4, 16, 20],[5, 16, 21]
[4, 20, 16],[5, 21, 16]
[16, 4, 20],[16, 5, 21]
[16, 20, 4],[16, 21, 5]
[20, 4, 16],[21, 5, 16]
[20, 16, 4],[21, 16, 5]
[4, 16, 20],[5, 17, 20]
[4, 20, 16],[5, 20, 17]
[16, 4, 20],[17, 5, 20]
[16, 20, 4],[17, 20, 5]
[20, 4, 16],[20, 5, 17]
[20, 16, 4],[20, 17, 5]
[0, 21, 21],[0, 22, 22]
[21, 0, 21],[22, 0, 22]
[21, 21, 0],[22, 22, 0]
[1, 20, 21],[2, 20, 22]
[1, 21, 20],[2, 22, 20]
[20, 1, 21],[20, 2, 22]
[20, 21, 1],[20, 22, 2]
[21, 1, 20],[22, 2, 20]
[21, 20, 1],[22, 20, 2]
[4, 17, 21],[4, 18, 22]
[4, 21, 17],[4, 22, 18]
[17, 4, 21],[18, 4, 22]
[17, 21, 4],[18, 22, 4]
[21, 4, 17],[22, 4, 18]
[21, 17, 4],[22, 18, 4]
[5, 16, 21],[6, 16, 22]
[5, 21, 16],[6, 22, 16]
[16, 5, 21],[16, 6, 22]
[16, 21, 5],[16, 22, 6]
[21, 5, 16],[22, 6, 16]
[21, 16, 5],[22, 16, 6]
[5, 17, 20],[6, 18, 20]
[5, 20, 17],[6, 20, 18]
[17, 5, 20],[18, 6, 20]
[17, 20, 5],[18, 20, 6]
[20, 5, 17],[20, 6, 18]
[20, 17, 5],[20, 18, 6]
[0, 22, 22],[0, 23, 23]
[22, 0, 22],[23, 0, 23]
[22, 22, 0],[23, 23, 0]
[0, 22, 22],[1, 22, 23]
[0, 22, 22],[1, 23, 22]
[22, 0, 22],[22, 1, 23]
[22, 22, 0],[22, 23, 1]
[22, 0, 22],[23, 1, 22]
[22, 22, 0],[23, 22, 1]
[2, 20, 22],[2, 21, 23]
[2, 22, 20],[2, 23, 21]
[20, 2, 22],[21, 2, 23]
[20, 22, 2],[21, 23, 2]
[22, 2, 20],[23, 2, 21]
[22, 20, 2],[23, 21, 2]
[2, 20, 22],[3, 20, 23]
[2, 22, 20],[3, 23, 20]
[20, 2, 22],[20, 3, 23]
[20, 22, 2],[20, 23, 3]
[22, 2, 20],[23, 3, 20]
[22, 20, 2],[23, 20, 3]
[2, 20, 22],[3, 21, 22]
[2, 22, 20],[3, 22, 21]
[20, 2, 22],[21, 3, 22]
[20, 22, 2],[21, 22, 3]
[22, 2, 20],[22, 3, 21]
[22, 20, 2],[22, 21, 3]
[4, 18, 22],[4, 19, 23]
[4, 22, 18],[4, 23, 19]
[18, 4, 22],[19, 4, 23]
[18, 22, 4],[19, 23, 4]
[22, 4, 18],[23, 4, 19]
[22, 18, 4],[23, 19, 4]
[4, 18, 22],[5, 18, 23]
[4, 22, 18],[5, 23, 18]
