[7, 6, 1],[8, 6, 2]
[7, 6, 1],[8, 7, 1]
[7, 7, 0],[8, 7, 1]
[7, 7, 0],[8, 8, 0]
[0, 12, 20],[0, 14, 23]
[0, 20, 12],[0, 23, 14]
[0, 12, 20],[1, 12, 21]
[1, 11, 19],[1, 12, 21]
[0, 12, 20],[1, 13, 20]
[1, 11, 19],[1, 13, 20]
[0, 20, 12],[1, 20, 13]
[1, 19, 11],[1, 20, 13]
[0, 20, 12],[1, 21, 12]
[1, 19, 11],[1, 21, 12]
[2, 9, 16],[3, 9, 17]
[2, 10, 14],[3, 10, 15]
[2, 14, 10],[3, 15, 10]
[2, 16, 9],[3, 17, 9]
[5, 9, 13],[6, 10, 13]
[6, 9, 11],[6, 10, 13]
[5, 13, 9],[6, 13, 10]
[6, 11, 9],[6, 13, 10]
[7, 2, 8],[7, 3, 11]
[7, 2, 8],[7, 5, 9]
[7, 8, 2],[7, 9, 5]
[7, 8, 2],[7, 11, 3]
[8, 0, 8],[8, 3, 10]
[8, 1, 7],[8, 3, 10]
[8, 2, 6],[8, 3, 10]
[8, 0, 8],[8, 4, 9]
[8, 1, 7],[8, 4, 9]
[8, 2, 6],[8, 4, 9]
[8, 6, 2],[8, 9, 4]
[8, 7, 1],[8, 9, 4]
[8, 8, 0],[8, 9, 4]
[8, 6, 2],[8, 10, 3]
[8, 7, 1],[8, 10, 3]
[8, 8, 0],[8, 10, 3]
[8, 0, 8],[9, 0, 9]
[8, 1, 7],[9, 3, 7]
[8, 2, 6],[9, 3, 7]
[8, 2, 6],[9, 4, 6]
[8, 6, 2],[9, 6, 4]
[8, 6, 2],[9, 7, 3]
[8, 7, 1],[9, 7, 3]
[8, 8, 0],[9, 9, 0]
[0, 14, 23],[0, 16, 26]
[0, 23, 14],[0, 26, 16]
[1, 12, 21],[1, 15, 25]
[1, 13, 20],[1, 15, 25]
[1, 20, 13],[1, 25, 15]
[1, 21, 12],[1, 25, 15]
[1, 12, 21],[2, 12, 22]
[1, 21, 12],[2, 22, 12]
[3, 9, 17],[3, 11, 20]
[3, 10, 15],[3, 11, 20]
[3, 9, 17],[3, 12, 18]
[3, 10, 15],[3, 12, 18]
[3, 15, 10],[3, 18, 12]
[3, 17, 9],[3, 18, 12]
[3, 15, 10],[3, 20, 11]
[3, 17, 9],[3, 20, 11]
[3, 9, 17],[4, 9, 18]
[3, 9, 17],[4, 10, 17]
[3, 10, 15],[4, 10, 17]
[3, 10, 15],[4, 11, 16]
[3, 15, 10],[4, 16, 11]
[3, 15, 10],[4, 17, 10]
[3, 17, 9],[4, 17, 10]
[3, 17, 9],[4, 18, 9]
[7, 3, 11],[7, 10, 12]
[7, 5, 9],[7, 10, 12]
[7, 9, 5],[7, 10, 12]
[7, 5, 9],[7, 12, 10]
[7, 9, 5],[7, 12, 10]
[7, 11, 3],[7, 12, 10]
[9, 0, 9],[9, 1, 11]
[9, 0, 9],[9, 2, 10]
[9, 9, 0],[9, 10, 2]
[9, 9, 0],[9, 11, 1]
[9, 0, 9],[10, 0, 10]
[9, 0, 9],[10, 1, 9]
[9, 3, 7],[10, 3, 8]
[9, 4, 6],[10, 5, 6]
[9, 6, 4],[10, 6, 5]
[9, 7, 3],[10, 8, 3]
[9, 9, 0],[10, 9, 1]
[9, 9, 0],[10, 10, 0]
[0, 16, 26],[0, 17, 28]
[0, 26, 16],[0, 28, 17]
[2, 12, 22],[2, 15, 23]
[2, 22, 12],[2, 23, 15]
[2, 12, 22],[3, 13, 23]
[3, 11, 20],[3, 13, 23]
[3, 12, 18],[3, 13, 23]
[3, 11, 20],[3, 14, 21]
[3, 12, 18],[3, 14, 21]
[3, 18, 12],[3, 21, 14]
[3, 20, 11],[3, 21, 14]
[2, 22, 12],[3, 23, 13]
[3, 18, 12],[3, 23, 13]
[3, 20, 11],[3, 23, 13]
[2, 12, 22],[4, 12, 23]
[3, 12, 18],[4, 12, 23]
[4, 9, 18],[4, 12, 23]
[4, 10, 17],[4, 12, 23]
[4, 11, 16],[4, 12, 23]
[3, 12, 18],[4, 13, 19]
[4, 9, 18],[4, 13, 19]
[4, 10, 17],[4, 13, 19]
[4, 11, 16],[4, 13, 19]
[3, 18, 12],[4, 19, 13]
[4, 16, 11],[4, 19, 13]
[4, 17, 10],[4, 19, 13]
[4, 18, 9],[4, 19, 13]
[2, 22, 12],[4, 23, 12]
[3, 18, 12],[4, 23, 12]
[4, 16, 11],[4, 23, 12]
[4, 17, 10],[4, 23, 12]
[4, 18, 9],[4, 23, 12]
[4, 9, 18],[5, 10, 18]
[4, 10, 17],[5, 10, 18]
[4, 10, 17],[5, 11, 17]
[4, 11, 16],[5, 11, 17]
[4, 16, 11],[5, 17, 11]
[4, 17, 10],[5, 17, 11]
[4, 17, 10],[5, 18, 10]
[4, 18, 9],[5, 18, 10]
[4, 11, 16],[6, 12, 16]
[4, 16, 11],[6, 16, 12]
[7, 10, 12],[7, 13, 14]
[7, 12, 10],[7, 13, 14]
[7, 10, 12],[7, 14, 13]
[7, 12, 10],[7, 14, 13]
[7, 10, 12],[8, 11, 12]
[7, 12, 10],[8, 12, 11]
[9, 1, 11],[9, 5, 12]
[9, 2, 10],[9, 5, 12]
[9, 10, 2],[9, 12, 5]
[9, 11, 1],[9, 12, 5]
[9, 1, 11],[10, 2, 11]
[9, 2, 10],[10, 2, 11]
[10, 0, 10],[10, 2, 11]
[10, 1, 9],[10, 2, 11]
[9, 10, 2],[10, 11, 2]
[9, 11, 1],[10, 11, 2]
[10, 9, 1],[10, 11, 2]
[10, 10, 0],[10, 11, 2]
[10, 0, 10],[11, 0, 11]
[10, 0, 10],[11, 1, 10]
[10, 1, 9],[11, 1, 10]
[10, 1, 9],[11, 2, 9]
[10, 9, 1],[11, 9, 2]
[10, 9, 1],[11, 10, 1]
[10, 10, 0],[11, 10, 1]
[10, 10, 0],[11, 11, 0]
[0, 17, 28],[0, 19, 31]
[0, 28, 17],[0, 31, 19]
[0, 17, 28],[1, 17, 29]
[0, 28, 17],[1, 29, 17]
[2, 15, 23],[2, 17, 26]
[2, 23, 15],[2, 26, 17]
[3, 13, 23],[3, 16, 27]
[3, 14, 21],[3, 16, 27]
[3, 21, 14],[3, 27, 16]
[3, 23, 13],[3, 27, 16]
[3, 14, 21],[4, 14, 22]
[4, 13, 19],[4, 14, 22]
[3, 21, 14],[4, 22, 14]
[4, 19, 13],[4, 22, 14]
[5, 10, 18],[5, 12, 19]
[5, 11, 17],[5, 12, 19]
[5, 17, 11],[5, 19, 12]
[5, 18, 10],[5, 19, 12]
[5, 10, 18],[7, 15, 18]
[7, 13, 14],[7, 15, 18]
[7, 14, 13],[7, 15, 18]
[5, 18, 10],[7, 18, 15]
[7, 13, 14],[7, 18, 15]
[7, 14, 13],[7, 18, 15]
[7, 13, 14],[8, 13, 15]
[8, 11, 12],[8, 13, 15]
[8, 12, 11],[8, 13, 15]
[7, 14, 13],[8, 15, 13]
[8, 11, 12],[8, 15, 13]
[8, 12, 11],[8, 15, 13]
[9, 5, 12],[9, 8, 14]
[9, 5, 12],[9, 13, 13]
[9, 12, 5],[9, 13, 13]
[9, 12, 5],[9, 14, 8]
[10, 2, 11],[10, 4, 15]
[9, 5, 12],[10, 7, 14]
[10, 2, 11],[10, 7, 14]
[8, 11, 12],[10, 12, 12]
[8, 12, 11],[10, 12, 12]
[9, 5, 12],[10, 12, 12]
[9, 12, 5],[10, 12, 12]
[10, 2, 11],[10, 12, 12]
[10, 11, 2],[10, 12, 12]
[9, 12, 5],[10, 14, 7]
[10, 11, 2],[10, 14, 7]
[10, 11, 2],[10, 15, 4]
[11, 0, 11],[11, 3, 13]
[11, 1, 10],[11, 3, 13]
[11, 2, 9],[11, 3, 13]
[11, 0, 11],[11, 4, 12]
[11, 1, 10],[11, 4, 12]
[11, 2, 9],[11, 4, 12]
[11, 9, 2],[11, 12, 4]
[11, 10, 1],[11, 12, 4]
[11, 11, 0],[11, 12, 4]
[11, 9, 2],[11, 13, 3]
[11, 10, 1],[11, 13, 3]
[11, 11, 0],[11, 13, 3]
[11, 0, 11],[12, 0, 12]
[11, 2, 9],[12, 3, 9]
[11, 9, 2],[12, 9, 3]
[11, 11, 0],[12, 12, 0]
[0, 19, 31],[0, 21, 34]
[0, 31, 19],[0, 34, 21]
[1, 17, 29],[1, 18, 31]
[1, 29, 17],[1, 31, 18]
[1, 17, 29],[2, 18, 29]
[2, 17, 26],[2, 18, 29]
[1, 29, 17],[2, 29, 18]
[2, 26, 17],[2, 29, 18]
[4, 14, 22],[4, 15, 27]
[4, 22, 14],[4, 27, 15]
[4, 14, 22],[5, 14, 24]
[5, 12, 19],[5, 14, 24]
[4, 22, 14],[5, 24, 14]
[5, 19, 12],[5, 24, 14]
[8, 13, 15],[8, 14, 17]
[8, 15, 13],[8, 17, 14]
[8, 15, 13],[9, 15, 16]
[9, 8, 14],[9, 15, 16]
[9, 13, 13],[9, 15, 16]
[9, 14, 8],[9, 15, 16]
[8, 13, 15],[9, 16, 15]
[9, 8, 14],[9, 16, 15]
[9, 13, 13],[9, 16, 15]
[9, 14, 8],[9, 16, 15]
[8, 13, 15],[10, 13, 16]
[9, 13, 13],[10, 13, 16]
[10, 4, 15],[10, 13, 16]
[10, 7, 14],[10, 13, 16]
[10, 12, 12],[10, 13, 16]
[8, 15, 13],[10, 16, 13]
[9, 13, 13],[10, 16, 13]
[10, 12, 12],[10, 16, 13]
[10, 14, 7],[10, 16, 13]
[10, 15, 4],[10, 16, 13]
[11, 3, 13],[11, 5, 17]
[11, 4, 12],[11, 5, 17]
[9, 8, 14],[11, 14, 14]
[9, 13, 13],[11, 14, 14]
[9, 14, 8],[11, 14, 14]
[10, 7, 14],[11, 14, 14]
[10, 12, 12],[11, 14, 14]
[10, 14, 7],[11, 14, 14]
[11, 3, 13],[11, 14, 14]
[11, 4, 12],[11, 14, 14]
[11, 12, 4],[11, 14, 14]
[11, 13, 3],[11, 14, 14]
[11, 12, 4],[11, 17, 5]
[11, 13, 3],[11, 17, 5]
[12, 0, 12],[12, 1, 14]
[12, 0, 12],[12, 2, 13]
[12, 3, 9],[12, 4, 11]
[12, 3, 9],[12, 5, 10]
[12, 9, 3],[12, 10, 5]
[12, 9, 3],[12, 11, 4]
[12, 12, 0],[12, 13, 2]
[12, 12, 0],[12, 14, 1]
[12, 0, 12],[13, 0, 13]
[12, 0, 12],[13, 1, 12]
[12, 3, 9],[13, 4, 10]
[12, 3, 9],[13, 6, 9]
[12, 9, 3],[13, 9, 6]
[12, 9, 3],[13, 10, 4]
[12, 12, 0],[13, 12, 1]
[12, 12, 0],[13, 13, 0]
[0, 21, 34],[0, 22, 36]
[0, 34, 21],[0, 36, 22]
[1, 18, 31],[1, 22, 33]
[1, 31, 18],[1, 33, 22]
[1, 18, 31],[2, 19, 32]
[2, 18, 29],[2, 19, 32]
[1, 31, 18],[2, 32, 19]
[2, 29, 18],[2, 32, 19]
[4, 15, 27],[4, 20, 30]
[4, 27, 15],[4, 30, 20]
[5, 14, 24],[5, 15, 26]
[5, 14, 24],[5, 16, 25]
[5, 24, 14],[5, 25, 16]
[5, 24, 14],[5, 26, 15]
[5, 14, 24],[6, 14, 25]
[5, 14, 24],[6, 15, 24]
[5, 24, 14],[6, 24, 15]
[5, 24, 14],[6, 25, 14]
[8, 14, 17],[9, 17, 20]
[8, 17, 14],[9, 17, 20]
[9, 15, 16],[9, 17, 20]
[9, 16, 15],[9, 17, 20]
[8, 14, 17],[9, 20, 17]
[8, 17, 14],[9, 20, 17]
[9, 15, 16],[9, 20, 17]
[9, 16, 15],[9, 20, 17]
[8, 17, 14],[10, 17, 19]
[10, 13, 16],[10, 17, 19]
[10, 16, 13],[10, 17, 19]
[8, 14, 17],[10, 19, 17]
[10, 13, 16],[10, 19, 17]
[10, 16, 13],[10, 19, 17]
[11, 5, 17],[11, 6, 19]
[9, 16, 15],[11, 16, 18]
[10, 16, 13],[11, 16, 18]
[11, 5, 17],[11, 16, 18]
[11, 14, 14],[11, 16, 18]
[9, 15, 16],[11, 18, 16]
[10, 13, 16],[11, 18, 16]
[11, 14, 14],[11, 18, 16]
[11, 17, 5],[11, 18, 16]
[11, 17, 5],[11, 19, 6]
[12, 1, 14],[12, 6, 15]
[12, 2, 13],[12, 6, 15]
[12, 4, 11],[12, 6, 15]
[12, 5, 10],[12, 6, 15]
[12, 10, 5],[12, 15, 6]
[12, 11, 4],[12, 15, 6]
[12, 13, 2],[12, 15, 6]
[12, 14, 1],[12, 15, 6]
[12, 1, 14],[13, 2, 14]
[12, 2, 13],[13, 2, 14]
[13, 0, 13],[13, 2, 14]
[13, 1, 12],[13, 2, 14]
[12, 4, 11],[13, 7, 11]
[13, 4, 10],[13, 7, 11]
[13, 6, 9],[13, 7, 11]
[12, 11, 4],[13, 11, 7]
[13, 9, 6],[13, 11, 7]
[13, 10, 4],[13, 11, 7]
[12, 13, 2],[13, 14, 2]
[12, 14, 1],[13, 14, 2]
[13, 12, 1],[13, 14, 2]
[13, 13, 0],[13, 14, 2]
[13, 0, 13],[14, 0, 14]
[13, 0, 13],[14, 1, 13]
[13, 1, 12],[14, 1, 13]
[13, 1, 12],[14, 2, 12]
[12, 4, 11],[14, 5, 11]
[12, 5, 10],[14, 5, 11]
[13, 4, 10],[14, 5, 11]
[13, 6, 9],[14, 7, 9]
[13, 9, 6],[14, 9, 7]
[12, 10, 5],[14, 11, 5]
[12, 11, 4],[14, 11, 5]
[13, 10, 4],[14, 11, 5]
[13, 12, 1],[14, 12, 2]
[13, 12, 1],[14, 13, 1]
[13, 13, 0],[14, 13, 1]
[13, 13, 0],[14, 14, 0]
[0, 22, 36],[0, 24, 39]
[0, 36, 22],[0, 39, 24]
[0, 22, 36],[1, 23, 37]
